source,merchant_id,name,phone,address,city,lat,lng,rating,total_reviews,is_open,url
grabfood,5-C2AXKFWKPAUCCN,Burger House Downtown,,Burger House Downtown,Burger House Downtown,21.032997423683952,105.85461445249427,4.5,986,True,https://food.grab.com/vn/vi/restaurant/5-C2AXKFWKPAUCCN
grabfood,5-C6BZPEKKTN5KPA,Aussie Burger TayHo - Ausstralia Traditional Base 2,,Aussie Burger TayHo - Ausstralia Traditional Base 2,Aussie Burger Tayho - Ausstralia Traditional Base 2,21.020244,105.853029,4.6,623,True,https://food.grab.com/vn/vi/restaurant/5-C6BZPEKKTN5KPA
grabfood,5-CZKKCKKATFEWJ2,"MỲ TRỘN, GÀ CHIÊN KIẾN PHÚC",,"MỲ TRỘN, GÀ CHIÊN KIẾN PHÚC",Gà Chiên Kiến Phúc,21.01377456211317,105.86392674950753,4.8,22,True,https://food.grab.com/vn/vi/restaurant/5-CZKKCKKATFEWJ2
grabfood,VNGFVN000006ic,McDonald's - Hồ Gươm,,McDonald's - Hồ Gươm,Mcdonald'S - Hồ Gươm,21.02528858199358,105.85313321485523,4.3,16387,True,https://food.grab.com/vn/vi/restaurant/VNGFVN000006ic
grabfood,5-C6JTWB5VC8K1MA,The Burger Factory - Downtown,,The Burger Factory - Downtown,The Burger Factory - Downtown,21.03298854343238,105.8545599386864,4.4,217,True,https://food.grab.com/vn/vi/restaurant/5-C6JTWB5VC8K1MA
grabfood,5-C4BYEET2J7EKA2,"The Fish & Chips, Burger, Hot Dog",,"The Fish & Chips, Burger, Hot Dog",Hot Dog,21.033005104122125,105.8545680901363,4.2,238,True,https://food.grab.com/vn/vi/restaurant/5-C4BYEET2J7EKA2
grabfood,5-C7CJAJBWJ32KL2,Mumbai Indian restaurant,,Mumbai Indian restaurant,Mumbai Indian Restaurant,21.02897985344393,105.84136784431985,,,True,https://food.grab.com/vn/vi/restaurant/5-C7CJAJBWJ32KL2
grabfood,5-C6TUVFU3GY5EUE,Bánh Mì Hội An - Hàng Buồm,,Bánh Mì Hội An - Hàng Buồm,Bánh Mì Hội An - Hàng Buồm,21.035696505022514,105.8515757177567,4.5,298,True,https://food.grab.com/vn/vi/restaurant/5-C6TUVFU3GY5EUE
grabfood,5-C34ACFE1V4JVA2,Sasuke - Mì Cay - Khâm Thiên,,Sasuke - Mì Cay - Khâm Thiên,Sasuke - Mì Cay - Khâm Thiên,21.017144379666163,105.83720858274853,4.2,197,True,https://food.grab.com/vn/vi/restaurant/5-C34ACFE1V4JVA2
grabfood,5-C4AGRZNHPFWHEX,Golden Chariot Indian Restaurant - Golden charoit,,Golden Chariot Indian Restaurant - Golden charoit,Golden Chariot Indian Restaurant - Golden Charoit,21.031706679314013,105.84889446363064,3.8,263,True,https://food.grab.com/vn/vi/restaurant/5-C4AGRZNHPFWHEX
grabfood,5-C2J2CYT3PAA3T2,Khổ Qua,,Khổ Qua,Khổ Qua,21.041004993273276,105.84912999998153,4.5,335,True,https://food.grab.com/vn/vi/restaurant/5-C2J2CYT3PAA3T2
grabfood,5-CZMBUFKJG4CXPE,Mì Trộn Thu Trang Online,,Mì Trộn Thu Trang Online,Mì Trộn Thu Trang Online,21.008849,105.864398,4.5,460,True,https://food.grab.com/vn/vi/restaurant/5-CZMBUFKJG4CXPE
grabfood,5-C6JEEFKTNULDCN,Burger Station Phố Cổ,,Burger Station Phố Cổ,Burger Station Phố Cổ,21.032989900487195,105.85463410157865,4.5,178,True,https://food.grab.com/vn/vi/restaurant/5-C6JEEFKTNULDCN
grabfood,5-C7JUABABDCKBUE,Cơm Thố Anh Nguyễn - Kim Đồng,,Cơm Thố Anh Nguyễn - Kim Đồng,Cơm Thố Anh Nguyễn - Kim Đồng,20.9844111,105.8423744,4.3,253,True,https://food.grab.com/vn/vi/restaurant/5-C7JUABABDCKBUE
grabfood,5-C7XENCADJZBWRN,Apna Indian Restaurant,,Apna Indian Restaurant,Apna Indian Restaurant,21.036744,105.846676,4.5,162,True,https://food.grab.com/vn/vi/restaurant/5-C7XENCADJZBWRN
grabfood,5-C7BEJ6VFCJBFUA,"Ô NGON - Mì Trộn Indomie - Trà Bí Đao, Trà Chanh, Trà Tắc",,"Ô NGON - Mì Trộn Indomie - Trà Bí Đao, Trà Chanh, Trà Tắc",Trà Tắc,21.039087,105.866425,4.7,634,True,https://food.grab.com/vn/vi/restaurant/5-C7BEJ6VFCJBFUA
